manu_id,manu_sku,product_name,,prod_page_url
3,LCN-HS09,Real Estate House Stress Reliever,,https://www.arielpremium.com/product/LCN-HS09
3,LEL-AT13,@ Ball Stress Reliever,,https://www.arielpremium.com/product/LEL-AT13
3,LFF-RO17,Robot 2.0 Stress Reliever,,https://www.arielpremium.com/product/LFF-RO17
3,LCN-WR02,Wrench Stress Reliever,,https://www.arielpremium.com/product/LCN-WR02
3,LCC-FB18,Firefighter Boot Stress Reliever,,https://www.arielpremium.com/product/LCC-FB18
3,LNA-MS01,Mouse Stress Reliever,,https://www.arielpremium.com/product/LNA-MS01
3,LFD-TG07,To Go Coffee Cup Stress Reliever,,https://www.arielpremium.com/product/LFD-TG07
3,LWO-SM12,Starman Wobbler,,https://www.arielpremium.com/product/LWO-SM12
3,LCN-PB33,Paintbrush Stress Reliever,,https://www.arielpremium.com/product/LCN-PB33
3,LED-SB23,Conventional School Bus Stress Reliever,,https://www.arielpremium.com/product/LED-SB23
3,LAR-FJ10,Fighter Jet Stress Reliever,,https://www.arielpremium.com/product/LAR-FJ10
3,LAZ-MS07,Moose Stress Reliever,,https://www.arielpremium.com/product/LAZ-MS07
3,LMA-CA09,Cadet Mad Cap Stress Reliever,,https://www.arielpremium.com/product/LMA-CA09
3,LFF-ST01,Stressed-Out Man Stress Reliever,,https://www.arielpremium.com/product/LFF-ST01
3,LPH-TB96,Tube Stress Reliever,,https://www.arielpremium.com/product/LPH-TB96
3,LPE-DB05,Dog Ball Stress Reliever,,https://www.arielpremium.com/product/LPE-DB05
3,LCN-BH91,Backhoe Stress Reliever,,https://www.arielpremium.com/product/LCN-BH91
3,LPE-SP71,Spaniel Dog Stress Reliever,,https://www.arielpremium.com/product/LPE-SP71
3,LGS-IM13,Imagine Word Stress Reliever,,https://www.arielpremium.com/product/LGS-IM13
3,LMT-TG09,Thumbs Up Tiger Mascot Stress Reliever,,https://www.arielpremium.com/product/LMT-TG09
3,LGS-BM13,Bomb With Fuse Stress Reliever,,https://www.arielpremium.com/product/LGS-BM13
3,LGS-ON05,Number One Stress Reliever,,https://www.arielpremium.com/product/LGS-ON05
3,LVB-EB91,Vibrating Earthball Stress Reliever,,https://www.arielpremium.com/product/LVB-EB91
3,LKC-PS06,Patriotic Star Key Chain Stress Reliever,,https://www.arielpremium.com/product/LKC-PS06
3,LEL-LE16,LED Light Bulb Stress Reliever,,https://www.arielpremium.com/product/LEL-LE16
3,LGS-CB08,Caption Bubble Stress Reliever,,https://www.arielpremium.com/product/LGS-CB08
3,LFD-CH13,Chef Hat Stress Reliever,,https://www.arielpremium.com/product/LFD-CH13
3,LFD-CH15,Chocolate Stress Reliever,,https://www.arielpremium.com/product/LFD-CH15
3,LFD-CH17,Chocolate Chip Cookie Stress Reliever,,https://www.arielpremium.com/product/LFD-CH17
3,LKC-OR05,Orange Key Chain Stress Reliever,,https://www.arielpremium.com/product/LKC-OR05
3,LMA-RR08,Rock N Roll Elvis Hair Stress Reliever,,https://www.arielpremium.com/product/LMA-RR08
3,LCH-CS01,Cool Sun Figure Stress Reliever,,https://www.arielpremium.com/product/LCH-CS01
3,LGS-GR15,Gracias Word Stress Reliever,,https://www.arielpremium.com/product/LGS-GR15
3,LCH-SC96,Soccer Stress Reliever Figure,,https://www.arielpremium.com/product/LCH-SC96
3,LFD-PN01,Peanut Stress Reliever,,https://www.arielpremium.com/product/LFD-PN01
3,LCN-PP06,Porta-Potty Stress Reliever,,https://www.arielpremium.com/product/LCN-PP06
3,LVG-PP12,Pea Pod Stress Reliever,,https://www.arielpremium.com/product/LVG-PP12
3,LAN-HT23,Hand Thumbs Up Stress Reliever,,https://www.arielpremium.com/product/LAN-HT23
3,LNA-MP01,Mountain Peak Stress Reliever,,https://www.arielpremium.com/product/LNA-MP01
3,LAA-TU10,Turtle Stress Reliever,,https://www.arielpremium.com/product/LAA-TU10
3,LNA-SK01,Skunk Stress Reliever,,https://www.arielpremium.com/product/LNA-SK01
3,LML-GR20,Grenade Stress Reliever,,https://www.arielpremium.com/product/LML-GR20
3,LKC-CF15,Clown Fish Key Chain Stress Reliever,,https://www.arielpremium.com/product/LKC-CF15
3,LDB-WL06,Wally Stress Reliever,,https://www.arielpremium.com/product/LDB-WL06
3,LVG-GB06,Garlic Bulb Stress Reliever,,https://www.arielpremium.com/product/LVG-GB06
3,LFD-DS07,Drumstick Stress Reliever,,https://www.arielpremium.com/product/LFD-DS07
3,LPE-BD17,Bulldog Stress Reliever,,https://www.arielpremium.com/product/LPE-BD17
3,LGS-CU08,Cube Stress Reliever,,https://www.arielpremium.com/product/LGS-CU08
3,LCC-PC06,Police Car Stress Reliever,,https://www.arielpremium.com/product/LCC-PC06
3,LGS-PY07,Pyramid Stress Reliever,,https://www.arielpremium.com/product/LGS-PY07
3,LMA-FH16,Fireman Mad Cap Stress Reliever,,https://www.arielpremium.com/product/LMA-FH16
